date,sequence,frame_id,image_path,lidar_path,image_ok,lidar_ok,image_height,image_width,lidar_points,split,depth_path
2011_09_26,2011_09_26_drive_0001_sync,10,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000010.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000010.bin,True,True,375,1242,122486,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_10.npy
2011_09_26,2011_09_26_drive_0001_sync,11,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000011.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000011.bin,True,True,375,1242,122554,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_11.npy
2011_09_26,2011_09_26_drive_0001_sync,12,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000012.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000012.bin,True,True,375,1242,122460,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_12.npy
2011_09_26,2011_09_26_drive_0001_sync,13,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000013.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000013.bin,True,True,375,1242,122566,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_13.npy
2011_09_26,2011_09_26_drive_0001_sync,14,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000014.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000014.bin,True,True,375,1242,122501,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_14.npy
2011_09_26,2011_09_26_drive_0001_sync,15,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000015.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000015.bin,True,True,375,1242,122455,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_15.npy
2011_09_26,2011_09_26_drive_0001_sync,16,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000016.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000016.bin,True,True,375,1242,122296,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_16.npy
2011_09_26,2011_09_26_drive_0001_sync,17,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000017.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000017.bin,True,True,375,1242,122260,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_17.npy
2011_09_26,2011_09_26_drive_0001_sync,18,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000018.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000018.bin,True,True,375,1242,122219,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_18.npy
2011_09_26,2011_09_26_drive_0001_sync,19,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000019.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000019.bin,True,True,375,1242,121870,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_19.npy
2011_09_26,2011_09_26_drive_0001_sync,20,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000020.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000020.bin,True,True,375,1242,121860,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_20.npy
2011_09_26,2011_09_26_drive_0001_sync,21,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000021.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000021.bin,True,True,375,1242,121514,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_21.npy
2011_09_26,2011_09_26_drive_0001_sync,22,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000022.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000022.bin,True,True,375,1242,121316,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_22.npy
2011_09_26,2011_09_26_drive_0001_sync,23,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000023.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000023.bin,True,True,375,1242,121321,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_23.npy
2011_09_26,2011_09_26_drive_0001_sync,24,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000024.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000024.bin,True,True,375,1242,121180,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_24.npy
2011_09_26,2011_09_26_drive_0001_sync,25,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000025.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000025.bin,True,True,375,1242,121376,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_25.npy
2011_09_26,2011_09_26_drive_0001_sync,26,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000026.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000026.bin,True,True,375,1242,121544,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_26.npy
2011_09_26,2011_09_26_drive_0001_sync,27,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000027.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000027.bin,True,True,375,1242,121556,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_27.npy
2011_09_26,2011_09_26_drive_0001_sync,28,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000028.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000028.bin,True,True,375,1242,121524,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_28.npy
2011_09_26,2011_09_26_drive_0001_sync,29,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000029.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000029.bin,True,True,375,1242,121340,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_29.npy
2011_09_26,2011_09_26_drive_0001_sync,30,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000030.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000030.bin,True,True,375,1242,121129,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_30.npy
2011_09_26,2011_09_26_drive_0001_sync,31,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000031.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000031.bin,True,True,375,1242,121214,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_31.npy
2011_09_26,2011_09_26_drive_0001_sync,32,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000032.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000032.bin,True,True,375,1242,121239,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_32.npy
2011_09_26,2011_09_26_drive_0001_sync,33,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000033.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000033.bin,True,True,375,1242,121237,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_33.npy
2011_09_26,2011_09_26_drive_0001_sync,34,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000034.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000034.bin,True,True,375,1242,121266,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_34.npy
2011_09_26,2011_09_26_drive_0001_sync,35,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000035.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000035.bin,True,True,375,1242,121210,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_35.npy
2011_09_26,2011_09_26_drive_0001_sync,36,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000036.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000036.bin,True,True,375,1242,121194,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_36.npy
2011_09_26,2011_09_26_drive_0001_sync,37,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000037.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000037.bin,True,True,375,1242,121197,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_37.npy
2011_09_26,2011_09_26_drive_0001_sync,38,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000038.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000038.bin,True,True,375,1242,121378,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_38.npy
2011_09_26,2011_09_26_drive_0001_sync,39,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000039.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000039.bin,True,True,375,1242,121535,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_39.npy
2011_09_26,2011_09_26_drive_0001_sync,40,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000040.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000040.bin,True,True,375,1242,121587,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_40.npy
2011_09_26,2011_09_26_drive_0001_sync,41,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000041.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000041.bin,True,True,375,1242,121467,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_41.npy
2011_09_26,2011_09_26_drive_0001_sync,42,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000042.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000042.bin,True,True,375,1242,121387,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_42.npy
2011_09_26,2011_09_26_drive_0001_sync,43,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000043.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000043.bin,True,True,375,1242,121230,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_43.npy
2011_09_26,2011_09_26_drive_0001_sync,44,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000044.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000044.bin,True,True,375,1242,121149,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_44.npy
2011_09_26,2011_09_26_drive_0001_sync,45,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000045.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000045.bin,True,True,375,1242,121226,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_45.npy
2011_09_26,2011_09_26_drive_0001_sync,46,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000046.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000046.bin,True,True,375,1242,121463,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_46.npy
2011_09_26,2011_09_26_drive_0001_sync,47,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000047.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000047.bin,True,True,375,1242,121505,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_47.npy
2011_09_26,2011_09_26_drive_0001_sync,48,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000048.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000048.bin,True,True,375,1242,121607,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_48.npy
2011_09_26,2011_09_26_drive_0001_sync,49,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000049.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000049.bin,True,True,375,1242,121875,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_49.npy
2011_09_26,2011_09_26_drive_0001_sync,50,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000050.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000050.bin,True,True,375,1242,121799,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_50.npy
2011_09_26,2011_09_26_drive_0001_sync,51,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000051.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000051.bin,True,True,375,1242,121735,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_51.npy
2011_09_26,2011_09_26_drive_0001_sync,52,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000052.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000052.bin,True,True,375,1242,121740,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_52.npy
2011_09_26,2011_09_26_drive_0001_sync,53,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000053.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000053.bin,True,True,375,1242,121923,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_53.npy
2011_09_26,2011_09_26_drive_0001_sync,54,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000054.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000054.bin,True,True,375,1242,121937,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_54.npy
2011_09_26,2011_09_26_drive_0001_sync,55,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000055.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000055.bin,True,True,375,1242,122072,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_55.npy
2011_09_26,2011_09_26_drive_0001_sync,56,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000056.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000056.bin,True,True,375,1242,122170,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_56.npy
2011_09_26,2011_09_26_drive_0001_sync,57,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000057.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000057.bin,True,True,375,1242,122223,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_57.npy
2011_09_26,2011_09_26_drive_0001_sync,58,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000058.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000058.bin,True,True,375,1242,122415,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_58.npy
2011_09_26,2011_09_26_drive_0001_sync,59,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000059.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000059.bin,True,True,375,1242,122405,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_59.npy
2011_09_26,2011_09_26_drive_0001_sync,60,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000060.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000060.bin,True,True,375,1242,122421,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_60.npy
2011_09_26,2011_09_26_drive_0001_sync,61,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000061.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000061.bin,True,True,375,1242,122306,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_61.npy
2011_09_26,2011_09_26_drive_0001_sync,62,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000062.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000062.bin,True,True,375,1242,122266,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_62.npy
2011_09_26,2011_09_26_drive_0001_sync,63,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000063.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000063.bin,True,True,375,1242,122270,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_63.npy
2011_09_26,2011_09_26_drive_0001_sync,64,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000064.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000064.bin,True,True,375,1242,122376,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_64.npy
2011_09_26,2011_09_26_drive_0001_sync,65,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000065.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000065.bin,True,True,375,1242,122474,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_65.npy
2011_09_26,2011_09_26_drive_0001_sync,66,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000066.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000066.bin,True,True,375,1242,122627,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_66.npy
2011_09_26,2011_09_26_drive_0001_sync,67,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000067.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000067.bin,True,True,375,1242,122763,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_67.npy
2011_09_26,2011_09_26_drive_0001_sync,68,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000068.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000068.bin,True,True,375,1242,122850,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_68.npy
2011_09_26,2011_09_26_drive_0001_sync,69,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000069.png,E:\monodepth_project\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000069.bin,True,True,375,1242,122945,train,E:\monodepth_project\data\kitti\depth_maps\2011_09_26_2011_09_26_drive_0001_sync_69.npy
